2025-03-17 17:17:47 - [x] Subskrybent nasłuchuje na kolejce 'probaataku'
2025-03-17 17:17:47 - Nasłuchiwanie rozpoczęte. Naciśnij dowolny klawisz, aby zakończyć.
2025-03-17 17:55:12 - [x] Opublikowano wiadomość do kolejki 'udanyatak': {"EventId":"429e59b9-f580-4c3d-8e5d-3e6104a9a121","Timestamp":"2025-03-17T16:55:12.1002484Z","Data":"Dane ataku"}
2025-03-17 17:55:21 - [x] Odebrano wiadomość z kolejki 'probaataku': {"EventId":"1f9d6030-d295-4f72-82e6-5759b929521a","Timestamp":"2025-03-17T16:55:21.5179392Z","Data":"Dane postaci"}
2025-03-17 17:55:21 - [x] Opublikowano wiadomość do kolejki 'udanyatak': {"EventId":"2c57f2d8-86ed-4039-b63c-5be402e26fb6","Timestamp":"2025-03-17T16:55:21.5518569Z","Data":"Dane ataku"}
2025-03-17 17:55:24 - [x] Odebrano wiadomość z kolejki 'probaataku': {"EventId":"8da317c4-8e9f-4baf-904f-fba1391543e0","Timestamp":"2025-03-17T16:55:24.7885881Z","Data":"Dane postaci"}
2025-03-17 17:55:24 - [x] Opublikowano wiadomość do kolejki 'udanyatak': {"EventId":"3a3d4c30-8a55-4ed9-9996-34403a4f6777","Timestamp":"2025-03-17T16:55:24.8225337Z","Data":"Dane ataku"}
2025-03-17 17:55:31 - [x] Odebrano wiadomość z kolejki 'probaataku': {"EventId":"0f82e3a0-c318-423b-bec0-9d7ff0d8c575","Timestamp":"2025-03-17T16:55:31.5002089Z","Data":"Dane postaci"}
2025-03-17 17:55:31 - [x] Opublikowano wiadomość do kolejki 'udanyatak': {"EventId":"2b32aac2-d299-4cdf-b311-e6bc82515e43","Timestamp":"2025-03-17T16:55:31.5332857Z","Data":"Dane ataku"}
2025-03-17 17:55:39 - [x] Odebrano wiadomość z kolejki 'probaataku': {"EventId":"8f4e572d-3b1c-4493-a200-8df3089fb4e3","Timestamp":"2025-03-17T16:55:39.3397313Z","Data":"Dane postaci"}
2025-03-17 17:55:39 - [x] Opublikowano wiadomość do kolejki 'udanyatak': {"EventId":"94534e59-30c9-47ab-b3ff-4860c1ce264c","Timestamp":"2025-03-17T16:55:39.3852922Z","Data":"Dane ataku"}
2025-03-17 17:55:48 - [x] Odebrano wiadomość z kolejki 'probaataku': {"EventId":"0360e7e7-ff0f-4442-8404-572d75fd7ac1","Timestamp":"2025-03-17T16:55:48.5315398Z","Data":"Dane postaci"}
2025-03-17 17:55:48 - [x] Opublikowano wiadomość do kolejki 'udanyatak': {"EventId":"b5e5d389-b380-4b08-bc87-f66e9f885e2e","Timestamp":"2025-03-17T16:55:48.5659247Z","Data":"Dane ataku"}
2025-03-17 17:55:54 - [x] Odebrano wiadomość z kolejki 'probaataku': {"EventId":"8306d370-75b4-40a3-9db3-773eaf72a231","Timestamp":"2025-03-17T16:55:54.9549214Z","Data":"Dane postaci"}
2025-03-17 17:55:54 - [x] Opublikowano wiadomość do kolejki 'udanyatak': {"EventId":"404ee265-1ed8-4371-bb87-c902586d5f51","Timestamp":"2025-03-17T16:55:54.9881457Z","Data":"Dane ataku"}
2025-03-17 17:56:03 - [x] Odebrano wiadomość z kolejki 'probaataku': {"EventId":"936a0c69-6610-4099-97f1-f90147b94d7a","Timestamp":"2025-03-17T16:56:03.1556321Z","Data":"Dane postaci"}
2025-03-17 17:56:03 - [x] Opublikowano wiadomość do kolejki 'udanyatak': {"EventId":"b8fd66a3-6924-4966-a810-586e9e7742e2","Timestamp":"2025-03-17T16:56:03.1890714Z","Data":"Dane ataku"}
2025-03-17 17:56:11 - [x] Odebrano wiadomość z kolejki 'probaataku': {"EventId":"314934e9-53e3-4562-a43c-fe111eec6cc1","Timestamp":"2025-03-17T16:56:11.722491Z","Data":"Dane postaci"}
2025-03-17 17:56:11 - [x] Opublikowano wiadomość do kolejki 'udanyatak': {"EventId":"00582b64-44f7-4c0d-a77c-0bbf78874dfc","Timestamp":"2025-03-17T16:56:11.7591796Z","Data":"Dane ataku"}
2025-03-17 17:56:17 - [x] Odebrano wiadomość z kolejki 'probaataku': {"EventId":"7fec9604-89c4-4042-80e9-657e26b9ceea","Timestamp":"2025-03-17T16:56:17.9174329Z","Data":"Dane postaci"}
2025-03-17 17:56:17 - [x] Opublikowano wiadomość do kolejki 'udanyatak': {"EventId":"673b16e2-78bb-4ce6-8cdb-dc77c460ef68","Timestamp":"2025-03-17T16:56:17.9519458Z","Data":"Dane ataku"}
2025-03-17 17:56:27 - [x] Odebrano wiadomość z kolejki 'probaataku': {"EventId":"0de02e5b-0b54-4731-9708-2172afbb4f26","Timestamp":"2025-03-17T16:56:26.9857296Z","Data":"Dane postaci"}
2025-03-17 17:56:27 - [x] Opublikowano wiadomość do kolejki 'udanyatak': {"EventId":"ae6961f6-bb81-4a0c-baf6-22e2d4d85860","Timestamp":"2025-03-17T16:56:27.0202194Z","Data":"Dane ataku"}
